filename,cop,caption,url,location,year
Bratton-2011-SantiagoChilezoom12,Bratton,"In April 2011, Altegrity (the consulting firm Bratton joined in 2009 as head of its security consulting division) took on a $3.8 million contract with the Chilean government to study and propose changes to the nation's prison system. While there's little indication Bratton was directly involved in the project (Michael Berkow, who previously worked for Bratton at the LAPD, took the lead), Bratton's name and reputation were crucial in landing the contract.  In May 2011, Bratton was the guest of honor at the Chilean Ministry of the Interior and Public Security's launch of the Sistema Táctico de Análisis Delictual (STAD), a CompStat-like system for the Chilean national police force.","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-70.630133,-33.428532,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Santiago, Chile",2011
Bratton-2011-IndianapolisINzoom12,Bratton,"Indianapolis Metropolitan Police Department public safety director Frank Straub hired Bratton and Altegrity to investigate the department's Professional Standards Division at a cost of $71,000.","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-86.143415,39.785871,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Indianapolis, IN",2011
Bratton-2011-LondonUKzoom12,Bratton,"Bratton returned to London to consult for the Metropolitan Police at the request of Prime Minister David Cameron following riots in the London area after the police murder of Mark Duggan. Cameron initially was considering hiring him to run the Police, but citizenship policies proved an obstacle. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-0.099076,51.509648,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","London, UK",2011
Bratton-2013-OaklandCAzoom12,Bratton,"In January 2013, the Oakland City Council approved a $250,000 contract to hire Bratton as a consultant as the city faced all-time lows in police staffing. The contract was an extension and addition to an existing contract with Bratton's frequent collaborator Robert Wasserman, who had already been consulting with the city and convinced them to bring Bratton on. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-122.197811,37.785199,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Oakland, CA",2013
Bratton-2013-BaltimoreMDzoom12,Bratton,"Out of a $285,834 contract Bratton received $53,785 for 96 hours of consulting on Baltimore's police-community relations with colleague Robert Wasserman. Wasserman had previously consulted with the city to recruit and hire commissioner Anthony Batts, who stepped down in 2015 in the wake of riots following the police murder of Freddie Gray.  ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-76.649533,39.319732,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Baltimore, MD",2013
Bratton-2014-New YorkNYzoom12,Bratton,"Bratton returned to New York City at the request of then mayor-elect Bill deBlasio. During his two-year tenure the department faced numerous controversies, including the murders of Eric Garner and Akai Gurley at the hands of police, a massive corruption probe, and a city council investigation into lucrative consulting contracts issued by Bratton for former colleagues, including Robert Wasserman, John Linder, and ""broken windows theory"" architect George Kelling. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-73.9708,40.68295,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","New York, NY",2014
Maple-1996-New OrleansLAzoom12,Maple,"Maple and colleague John Linder were paid $900,000 over 18 months by the New Orleans Police Foundation to consult for the New Orleans Police Department. In a USA Today profile highlighting Maple's New Orleans work, Maple noted  ""You give me any department, anywhere, and I'll make it work. I could turn Washington, D.C., into Mayberry, RFD.""","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-89.889852,30.056708,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","New Orleans, LA",1996
Maple-1997-BostonMAzoom12,Maple,"Little documentation of this work other than a 1997 USA Today profile which noted that Maple's firm with John Linder ""already works with the transit police in Boston.""","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-71.048611,42.355492,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Boston, MA",1997
Maple-1997-NewarkNJzoom12,Maple,"Maple and Linder were hired by the Newark Police Department for an eleven-month contract at a fee of $343,200","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-74.185043,40.718707,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Newark, NJ",1997
Maple-1997-AnkaraTurkeyzoom12,Maple,"Maple and John Timoney consulted the Turkish National Police Association, where Timoney once again encountered surprise at the legacy of police as instrument of state violence seemingly undermining public trust in the institution. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/32.85427,39.91987,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Ankara, Turkey",1997
Maple-1997-Puerto Ricozoom12,Maple,There's not a lot documented about this particular consulting job other than a Daily News Article in which Bratton mentions it and a job in New Bedford with Maple. ,"https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-66.481065,18.234668,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg",Puerto Rico,1997
Maple-1997-New BedfordMAzoom12,Maple,"It's unclear beyond that NYDN story whether Maple did end up working on this job. In 1997, Bratton was paid $128,000 to produce a 95-page report on the numerous problems within the New Bedford Police Department. Criticism of the report in local editorials noted that Bratton "" [skirted] around the issues of racism and sexism within the department"" and  might only lead to cosmetic improvements.","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-70.945702,41.667736,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","New Bedford, MA",1997
Maple-1999-BaltimoreMDzoom12,Maple,"Maple was the first police consultant hired by then-mayor Martin O'Malley to improve operations of the Baltimore Police Department. O'Malley was so taken by Maple's approach that when he was later elected to governor of Maryland, he applied the CompStat-like model he'd helped implement in Baltimore to the entire state's operations. Maple was also instrumental in facilitating the hiring of Bratton-era NYPD alum Edward Norris as Baltimore police commissioner. Norris would go on to be indicted on federal charges of stealing over $20,000 from the city police force. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-76.649533,39.319732,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Baltimore, MD",1999
Timoney-1996-BirminghamALzoom12,Timoney,"Bratton and John Timoney consulted for the Birmingham Police Department shortly after leaving New York. In his memoir, Timoney noted that while he was familiar with Bull Connor's legacy over the department, ""while we expected to see some problems within the department, the issue of race, we believed, was a thing of the past.""","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-86.800929,33.530651,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Birmingham, AL",1996
Timoney-1996-DublinIrelandzoom12,Timoney,"Timoney participated on a ""blue-ribbon panel"" selected by the Ireland Ministry of Justice to review the national police force following the assassination of Irish investigative journalist Veronica Guerin. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-6.281314,53.33928,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Dublin, Ireland",1996
Timoney-1997-AnkaraTurkeyzoom12,Timoney,"Maple and John Timoney consulted the Turkish National Police Association, where Timoney once again encountered surprise at the legacy of police as instrument of state violence seemingly undermining public trust in the institution. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/32.85427,39.91987,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Ankara, Turkey",1997
Timoney-1997-Buenos AiresArgentinazoom12,Timoney,"As in his experiences in Ankara, Timoney lamented how the history of state-backed police violence in Buenos Aires ""dominated any conversation regarding reform"" when he consulted there. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-58.454595,-34.607357,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Buenos Aires, Argentina",1997
Timoney-1997-FortalezaBrazilzoom12,Timoney,"Consulting job with Bill Bratton. In his memoir, Timoney notes that their presence inadvertently sparked a series of protests by police officers demanding higher pay (something he writes he advocates for frequently, seeing as ""you get what you pay for"" when underpaying your officers).","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-38.5217989,-3.7304512,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Fortaleza, Brazil",1997
Timoney-1998-PhiladelphiaPAzoom12,Timoney,"Thanks in part to Bill Bratton, John Timoney was hired to lead the Philadelphia Police Department by then mayor Ed Rendell. Among  notable incidents during his three-year tenure included a harsh crackdown on protestors during the 2000 Republican National Convention in Philadelphia, during which 380 people were arrested and activist spaces were raided by Philadelphia police, presumably to protect the RNC from the scourge of banners and large puppets.","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-75.168428,39.990821,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Philadelphia, PA",1998
Timoney-2003-MiamiFLzoom12,Timoney,"After a brief but under-documented return to private consulting, Timoney was selected to lead the Miami Police Department.  In his first year, Timoney employed what would later be known as the ""Miami model"" of coordinated brutal police crackdown on protests during trade negotiations for the Free Trade Area of the Americas agreement. For much of his tenure, Timoney left Miami frequently for public speaking and consulting engagements. He resigned in 2009. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-80.210268,25.766368,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Miami, FL",2003
Timoney-2003-Haitizoom12,Timoney,Little documentation beyond Timoney's own professional biography exists for this engagement. Unclear if this is an example of resume-puffery.,"https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-72.294701,19.251299,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg",Haiti,2003
Timoney-2005-Guantanamo BayCubazoom12,Timoney,"It's unclear whether to call this engagement meaningful consulting or a photo-op–while Timoney listed his visit to GTMO on several professional biographies, reports from 2005 suggest he simply attended one of the many media-orchestrated tours of the detention camp at the base. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-77.967722,21.329612,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Guantanamo Bay, Cuba",2005
Timoney-2007-Iraqzoom12,Timoney,"Timoney was a member of the Independent Commission on the Security Forces of Iraq, a commission appointed by Congress to asses the Iraqi Security Forces. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/43.614805,32.765286,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg",Iraq,2007
Timoney-2011-Bahrainzoom12,Timoney,"Timoney was hired by the Bahrain Ministry of the Interior n December 2011 to consult with the Bahrain police in the wake of violent suppression of Arab Spring protests earlier that same year. Within a few months of joining the Ministry, three protestors died in police-related incidents. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/50.551925,26.020458,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg",Bahrain,2011
